,Fuel,Driven,Automatic,Owner,Location,Price,Brand,Years
137,Petrol,98800.0,Manual,2,KE,240000,Maruti,12
138,Diesel,77000.0,Manual,1,UP,510000,Mahindra,5
139,Diesel,72000.0,Manual,1,DL,399000,Toyota,7
140,Petrol,80000.0,Manual,2,HR,300000,Hyundai,6
141,Diesel,37000.0,Automatic,1,DL,500000,Mahindra,9
142,LPG,114000.0,Manual,3,TN,145000,Maruti,15
143,Petrol,3450.0,Manual,1,KE,575000,Maruti,1
144,Petrol,45548.0,Automatic,2,WB,310000,Maruti,10
145,Petrol,24000.0,Manual,1,KE,119000,Maruti,14
146,Petrol,42056.0,Manual,0,MH,65000,Maruti,18
147,Petrol,29000.0,Manual,1,MP,285000,Maruti,5
148,Diesel,151734.0,Manual,4,TN,590000,Maruti,9
149,Diesel,143000.0,Automatic,2,DL,1250000,Toyota,8
150,Diesel,37000.0,Manual,1,TN,560000,Renault,10
151,Petrol,31000.0,Manual,1,TN,525000,Hyundai,7
152,CNG & HYBRIDS,68000.0,Manual,1,PJ,650000,Toyota,6
153,CNG,90000.0,Manual,4,DL,150000,Hyundai,11
154,Diesel,140000.0,Manual,3,KR,400000,Mahindra,8
155,Diesel,20000.0,Automatic,1,DL,1475000,Hyundai,3
156,Petrol,98000.0,Manual,2,KE,87500,Chevrolet,13
157,Petrol,80000.0,Manual,3,MA,90000,Maruti,17
158,Diesel,130000.0,Manual,3,KE,270000,Mahindra,13
159,Diesel,7500.0,Manual,1,HY,2050000,MG,3
160,Petrol,44000.0,Manual,1,TN,589000,Hyundai,4
161,Petrol,76000.0,Automatic,2,KE,658000,Maruti,6
162,CNG & HYBRIDS,90480.0,Manual,2,MH,451000,Honda,10
163,Diesel,125000.0,Manual,2,KE,460000,Toyota,6
164,Diesel,76000.0,Manual,1,UP,285000,Mahindra,12
165,Petrol,35000.0,Manual,1,BI,50000,Maruti,21
166,Petrol,50000.0,Manual,2,KE,178000,Maruti,10
167,Diesel,130000.0,Manual,2,RJ,130000,Chevrolet,11
168,Petrol,71626.0,Automatic,1,UP,414000,Maruti,6
169,Petrol,20000.0,Automatic,2,KE,9500000,Porsche,4
170,Diesel,90000.0,Manual,1,DL,350000,Mahindra,10
171,Diesel,120000.0,Manual,2,RJ,450000,Mahindra,11
172,Diesel,55000.0,Manual,1,GU,890000,Honda,4
173,Petrol,98000.0,Manual,1,KE,595000,Volkswagen,4
174,Petrol,125000.0,Automatic,4,KE,315000,Toyota,14
175,Petrol,130000.0,Automatic,1,KE,695000,Volkswagen,5
176,Diesel,134000.0,Manual,2,MH,325000,Volkswagen,10
177,Diesel,235000.0,Manual,2,TN,1075000,Toyota,9
178,Petrol,35000.0,Automatic,1,PJ,315000,Maruti,9
179,Diesel,85000.0,Automatic,1,PJ,1299000,Mercedes,8
180,Petrol,40000.0,Manual,1,PJ,305000,Hyundai,9
181,Petrol,55000.0,Manual,2,KE,245000,Nissan,7
182,Petrol,35000.0,Manual,1,AS,685000,Maruti,3
183,Petrol,30000.0,Manual,1,AS,675000,Maruti,3
